geo_id,zone_code,sp23,nomsp,cmm
1,2452017.00,7601,Lavaltrie; Lanoraie,0
2,2453040.00,8533,Saint-Joseph-de-Sorel; Saint-Roch-de-Richelieu; Sorel-Tracy,0
3,2453050.00,8533,Saint-Joseph-de-Sorel; Saint-Roch-de-Richelieu; Sorel-Tracy,0
4,2453052.00,8533,Saint-Joseph-de-Sorel; Saint-Roch-de-Richelieu; Sorel-Tracy,0
5,2455048.00,8501,"Marieville; Richelieu, Saint-Mathias-sur-Richelieu",0
6,2457033.00,8524,Mont-Saint-Hilaire; Otterburn Park; Saint-Jean-Baptiste,1
7,2457050.00,8525,Saint-Charles-sur-Richelieu; Saint-Marc-sur-Richelieu; Saint-Antoine-sur-Richelieu; Saint-Denis-sur-Richelieu,0
8,2457057.00,8525,Saint-Charles-sur-Richelieu; Saint-Marc-sur-Richelieu; Saint-Antoine-sur-Richelieu; Saint-Denis-sur-Richelieu,0
9,2457068.00,8525,Saint-Charles-sur-Richelieu; Saint-Marc-sur-Richelieu; Saint-Antoine-sur-Richelieu; Saint-Denis-sur-Richelieu,0
10,2457075.00,8525,Saint-Charles-sur-Richelieu; Saint-Marc-sur-Richelieu; Saint-Antoine-sur-Richelieu; Saint-Denis-sur-Richelieu,0
11,2459030.00,8532,Verchères; Calixa-Lavallée; Varennes; Contrecoeur,1
12,2459035.00,8532,Verchères; Calixa-Lavallée; Varennes; Contrecoeur,1
13,2461005.00,7602,Crabtree; Joliette; Saint-Paul; Saint-Pierre; Saint-Thomas,0
14,2461013.00,7602,Crabtree; Joliette; Saint-Paul; Saint-Pierre; Saint-Thomas,0
15,2461020.00,7602,Crabtree; Joliette; Saint-Paul; Saint-Pierre; Saint-Thomas,0
16,2461025.00,7602,Crabtree; Joliette; Saint-Paul; Saint-Pierre; Saint-Thomas,0
17,2461027.00,7602,Crabtree; Joliette; Saint-Paul; Saint-Pierre; Saint-Thomas,0
18,2461030.00,7603,Saint-Charles-Borromée; Notre-Dame-des-Prairies,0
19,2461035.00,7603,Saint-Charles-Borromée; Notre-Dame-des-Prairies,0
20,2461040.00,,,
21,2461045.00,,,
22,2461050.00,,,
23,2462037.00,7673,Rawdon,0
24,2463005.00,7672,"Saint-Alexis; Saint-Esprit, Saint-Jacques, Saint-Liguori; Saint-Roch-de-l'Achigan; Saint-Roch-Ouest; Sainte-Julienne; Sainte-Marie-Salomé",0
25,2463013.00,7672,"Saint-Alexis; Saint-Esprit, Saint-Jacques, Saint-Liguori; Saint-Roch-de-l'Achigan; Saint-Roch-Ouest; Sainte-Julienne; Sainte-Marie-Salomé",0
26,2463023.00,7672,"Saint-Alexis; Saint-Esprit, Saint-Jacques, Saint-Liguori; Saint-Roch-de-l'Achigan; Saint-Roch-Ouest; Sainte-Julienne; Sainte-Marie-Salomé",0
27,2463030.00,7672,"Saint-Alexis; Saint-Esprit, Saint-Jacques, Saint-Liguori; Saint-Roch-de-l'Achigan; Saint-Roch-Ouest; Sainte-Julienne; Sainte-Marie-Salomé",0
28,2463040.00,7672,"Saint-Alexis; Saint-Esprit, Saint-Jacques, Saint-Liguori; Saint-Roch-de-l'Achigan; Saint-Roch-Ouest; Sainte-Julienne; Sainte-Marie-Salomé",0
29,2463055.00,7671,Saint-Calixte; Saint-Lin-Laurentides,0
